#TYPE System.Management.Automation.PSCustomObject
"Name","ID","Club","Position","age","Projected_2017","2012_FirstHalf","2012_SecondHalf","2013_FirstHalf","2013_SecondHalf","2014_FirstHalf","2014_SecondHalf","2015_FirstHalf","2015_SecondHalf","2016_FirstHalf","2016_SecondHalf"
"Matthew Wright","1091","Carlton","FWD","27","92.21263666","99.5833333333333","88.5714285714286","75","84.875","95.8","89.6","66.3333333333333","52.4","89.3636363636364","91.6363636363636"
"Shaun Atley","1096","North Melbourne","DEF","24","67.16725878","68.3333333333333","72.4","79.4545454545455","71.7272727272727","75.5","72.5","77.9090909090909","53.3333333333333","67.4545454545455","65.2727272727273"
"Harley Bennell","1099","Fremantle","MID,FWD","24","98.64692748","98.4545454545455","90.9090909090909","100.555555555556","75.1666666666667","91","87","106.142857142857","89.875",,
"Rohan Bewick","1100","Brisbane Lions","MID","27","73.36253966","59.9090909090909","64.4","57.2222222222222","71.9","80.5","36.75","64.25","66.8571428571429","75.6666666666667","69.25"
"Josh Caddy","1106","Richmond","MID,FWD","24","93.05080603","63.7272727272727","72.1818181818182","81.8","35.8333333333333","81.2","63.5","107.75","92.1818181818182","78.2","98.1818181818182"
"Jonathon Ceglar","1109","Hawthorn","RUC","25","85.43672601",,,"45",,"81.2222222222222","82.5","78","86.6","84","84.2"
"Jamie Cripps","1116","West Coast Eagles","FWD","24","72.6878554","62.25","43.75","63.3333333333333","46.1666666666667","57.8888888888889","67.2","80.6363636363636","84.8181818181818","77.5454545454545","66.0909090909091"
"Luke Dahlhaus","1120","Western Bulldogs","MID,FWD","24","98.05553807","84.4285714285714","80.2","90","67.8","90.9166666666667","101.888888888889","100","108.2","80","106.090909090909"
"Jack Darling","1121","West Coast Eagles","FWD","24","79.49659123","75.3333333333333","79.4","74.1","83.4545454545455","82.6666666666667","88.8","83.6363636363636","65","77.9090909090909","79.1818181818182"
"Sam Day","1124","Gold Coast Suns","DEF,FWD","24","72.51763701","36.1666666666667","53.4444444444444","57.8888888888889","65.6363636363636","63.5","68.4","59.4545454545455","39.3333333333333","72.7272727272727","70.3333333333333"
"Charlie Dixon","1128","Port Adelaide","FWD","26","68.39718955","79.5555555555556","64.6666666666667","82.5","99.1428571428571","62.75","73.1666666666667","77.1111111111111","67.1428571428571","53.8571428571429","76.1818181818182"
"Alex Fasolo","1132","Collingwood","FWD","24","79.19755891","87.0909090909091","70.9",,"44","58.5","83","78.8181818181818","78.6666666666667","56.5","82.6"
"Andrew Gaff","1136","West Coast Eagles","MID","24","94.41534636","82.5833333333333","95","78.9090909090909","64.2727272727273","99.0833333333333","96.8","101.090909090909","105.454545454545","97","89.2"
"Josh Green","1140","Essendon","FWD","24","56.21807551","54","63","54.6666666666667","56.625","63.25","62","79","55.6","58.6666666666667","51.8"
"Cameron Guthrie","1141","Geelong Cats","MID","24","88.5836685","51.7142857142857","50.2727272727273","66.4","67.5714285714286","74.75","91.2","110.7","79.8181818181818","80.8","93.6363636363636"
"Dyson Heppell","1149","Essendon","MID","24","116.0705438","90.9090909090909","92.3333333333333","95.6666666666667","101.2","116.818181818182","115.3","108.636363636364","120.727272727273",,
"Michael Hibberd","1150","Melbourne","DEF","27","91.3635332","73.875","83.8","101.454545454545","104.818181818182","94.625","108.7","89","90.2727272727273",,
"Tom Hickey","1151","St Kilda","RUC","25","91.17082417","51.1666666666667","77.25","62","48.6","87","92.8","77.2","57.8333333333333","95.4444444444444","85.0909090909091"
"George Horlin-Smith","1154","Geelong Cats","MID","24","59.42527925","41","45.5","84.5","58.5","63.9","85.6666666666667","69.25","44.6666666666667",,"43"
"Jeremy Howe","1155","Collingwood","DEF","26","100.8731884","90.0909090909091","81.7272727272727","66.9","90.0909090909091","95.5","83.4","76.7272727272727","76.0909090909091","100.727272727273","98.1111111111111"
"Josh Jenkins","1161","Adelaide Crows","FWD","27","94.48205866","67.4285714285714","71.75","64","76.8181818181818","62.9166666666667","88.875","71.5454545454545","70.875","88.7272727272727","96.7272727272727"
"Jason Johannisen","1162","Western Bulldogs","DEF","24","100.5881014","61",,"53","68.5555555555556","89.1666666666667","39.8","79.4","79.7","98.2222222222222","102"
"Tom Jonas","1166","Port Adelaide","DEF","26","70.48006693","53.3333333333333",,"52.1111111111111","53.6","79.4166666666667","59.1428571428571","59","66.4545454545455",,"69.5555555555556"
"Jed Lamb","1170","Carlton","FWD","24","57.35286481",,,"53.8888888888889","23.6666666666667","28.5","61","45",,"50.6","59.7"
"Will Langford","1171","Hawthorn","MID","24","77.38744021",,,"7",,"80.7142857142857","70.2222222222222","82.75","79","73.5","77.7777777777778"
"Ryan Lester","1174","Brisbane Lions","FWD","24","60.56675599","65.1","64.5555555555556","63","93.8333333333333","85.5","94.125","49.5","74.5714285714286","59","60.6"
"Tom Liberatore","1175","Western Bulldogs","MID","24","95.67410423","94.25","89.6666666666667","131.5","107.4","116","126.2",,,"76.6666666666667","104.272727272727"
"Scott Lycett","1179","West Coast Eagles","RUC,FWD","24","96.60584023",,"42.5","68","17","95.8888888888889","48.3333333333333","90.5","72.25","81.2","109.7"
"Thomas Lynch","1180","Gold Coast Suns","FWD","24","98.72666943","81.4285714285714","68.8","19","73.8571428571429","88.6666666666667","78.6","91.6363636363636","88.1111111111111","105.272727272727","89.8181818181818"
"Jarryd Lyons","1181","Gold Coast Suns","MID","24","99.24294745",,"36.3333333333333","66","73.2","67.2857142857143","55.3333333333333","56.8333333333333","39.5","101.181818181818","93.1428571428571"
"Brandon Matera","1187","Gold Coast Suns","FWD","24","64.35824933","70.9090909090909","64.3333333333333",,"65.6","66.8571428571429","78","81.5454545454545","57.625","65.9090909090909","59.3333333333333"
"Steven May","1188","Gold Coast Suns","DEF","25","95.42835078","72.5","57","68","50.875","81.4444444444444","85.4","81.2727272727273","77.4285714285714","101.181818181818","80.6666666666667"
"Tom McDonald","1190","Melbourne","DEF","24","103.0051318","85.9","75.2","85.8181818181818","73.8333333333333","84.9090909090909","73.1","94.4545454545455","113.272727272727","111.181818181818","92.3636363636364"
"Jeremy McGovern","1191","West Coast Eagles","DEF","24","92.15014918",,,,,"82.5","62","65.4285714285714","92","95.9090909090909","85.7"
"Aaron Mullett","1200","North Melbourne","DEF","24","64.12435852","70.5","51.25","76.4545454545455","84.6363636363636","57","72.375","36.5",,"61.5454545454545","70"
"Tom Nicholls","1203","Gold Coast Suns","RUC","24","94.19364621",,,"88.1666666666667","110.5",,"71.8333333333333","73.2857142857143","101.625","92.125","94.1428571428571"
"Luke Parker","1207","Sydney Swans","MID","24","124.8574934","55","83.1","86.2727272727273","97.6363636363636","117.75","108.6","104.125","111.545454545455","124.909090909091","121.818181818182"
"Cameron Pedersen","1209","Melbourne","FWD","29","68.11111111",,"63","89.75","65","75.4444444444444","88.4",,"75.5714285714286","57","71.2857142857143"
"Jared Polec","1213","Port Adelaide","MID","24","79.1231391","45.6666666666667","65.8888888888889",,"40","74.8181818181818","92.4",,"74.4","81.4285714285714","75.9"
"Dion Prestia","1214","Richmond","MID","24","99.33130619","66.2","89","104.4","110.7","109.583333333333","112.1",,"107.375","95.5","99.2"
